"GID","URN","UID","Companies House Number","Role","Title","Forename 1","Forename 2","Surname","Date of appointment","Date term of office ends/ended","Appointing body"
"1002568","","2044","07318714","Accounting Officer","Mrs","Sarah","Jane","Moore","01/01/2016","","N/A"
"1002573","","2044","07318714","Chief Financial Officer","Mrs","Jane","Elizabeth","Parsons","19/07/2010","","N/A"
"1002580","","2044","07318714","Member","Mr","Duncan","Anthony","Pickering","19/07/2010","","Original (signatory) members"
"1002581","","2044","07318714","Member","Mr","Paul","","Thompson","19/07/2010","","Original (signatory) members"
"1308504","","2044","07318714","Chair of Trustees","Mr","John","","Kirkman","19/07/2010","31/12/2021","Appointed by academy members"
"1308506","","2044","07318714","Trustee","Mr","Stephen","","Haigh","01/09/2014","31/08/2022","Appointed by academy members"
"1308508","","2044","07318714","Trustee","Fr","Peter","","Lister","01/09/2014","31/08/2022","Original (signatory) members"
"1308510","","2044","07318714","Trustee","Mr","Duncan","","Pickering","19/07/2010","31/12/2021","Original (signatory) members"
"1381034","","2044","07318714","Trustee","Father","Christopher","john","Atkinson","01/09/2014","","Ex-officio foundation governor (appointed by foundation by virtue of the office they hold)"
"1523390","","2044","07318714","Trustee","Mrs","Amelia","","Eggleston","12/03/2021","11/03/2025","Appointed by foundation/Trust"
"1523393","","2044","07318714","Trustee","Mr","Roger","","Moore","17/05/2021","17/11/2021","Appointed by foundation/Trust"
"1523397","","2044","07318714","Trustee","Revd","Neil","","Griffiths","17/05/2021","16/05/2025","Appointed by foundation/Trust"
"1525222","","2044","07318714","Member","Mr","David","Nicholas","Page","24/05/2021","","Appointed by foundation/Trust"
"1540540","","2044","07318714","Member","Mrs","Joanne","","Derrick","28/11/2018","","Appointed by academy members"
"1568783","","2044","07318714","Chair of Trustees","Mr","Stephen","","Haigh","01/01/2022","31/08/2022","Appointed by foundation/Trust"
"1571232","","2044","07318714","Trustee","Mrs","Sarah","","Moore","01/01/2016","","Ex-officio by virtue of office as headteacher/principal"
"1596235","","2044","07318714","Trustee","Mr","Christopher","","Bates","17/03/2022","16/03/2026","Appointed by foundation/Trust"
"1596236","","2044","07318714","Trustee","Dr","Philip","","Brierley","17/03/2022","16/03/2026","Appointed by foundation/Trust"
"1596237","","2044","07318714","Trustee","Mr","Paul","","Gandy","08/02/2022","07/02/2026","Appointed by GB/board"
"1621987","","2044","07318714","Chair of Trustees","Mr","Stephen","Alan","Haigh","01/09/2022","21/08/2026","Appointed by foundation/Trust"
"1002582","","2046","07705552","Trustee","","Tessa","","Mason","17/06/2019","16/06/2023","Appointed by academy members"
"1002585","","2046","07705552","Chair of Trustees","Mr","Paul","","Whitman","01/11/2018","31/10/2022","Appointed by foundation/Trust"
"1002586","","2046","07705552","Trustee","","Frances","","Baker","17/05/2019","22/07/2022","Appointed by academy members"
"1002589","","2046","07705552","Member","","Ann","","Nicholl","05/07/2019","","Original (signatory) members"
"1002590","","2046","07705552","Member","","Richard","","Noake","01/11/2014","","Original (signatory) members"
"1215105","","2046","07705552","Trustee","","Peter","","Laurence","10/09/2019","09/09/2023","Appointed by academy members"
"1249995","","2046","07705552","Trustee","Mr","Gefrin","","Price","19/10/2021","18/10/2025","Appointed by academy members"
"1320181","","2046","07705552","Trustee","Mr","Steve","","Simkins","10/09/2019","09/09/2023","Appointed by academy members"
"1340598","","2046","07705552","Accounting Officer","Mrs","Helen","","Pratten","01/01/2019","","N/A"
"1374639","","2046","07705552","Trustee","Mrs","Helen","","Pratten","01/01/2019","","Ex-officio by virtue of office as headteacher/principal"
"1374643","","2046","07705552","Trustee","Miss","Catherine","","Garrett","01/01/2019","","Ex-officio by virtue of office as headteacher/principal"
"1405341","","2046","07705552","Member","Bishop","Paul","","Slater","05/07/2019","","Original (signatory) members"
"1428488","","2046","07705552","Chief Financial Officer","Ms","Yavannah","","Watterson-Hopkins","01/02/2020","","N/A"
"1437687","","2046","07705552","Trustee","Mr","William","","Rachmann","23/03/2020","22/03/2024","Appointed by academy members"
"1454016","","2046","07705552","Trustee","","Kamila","","Morawiecka-Watkins","22/07/2020","21/07/2024","Appointed by academy members"
"1515847","","2046","07705552","Trustee","Mr","Philip","","Turner","25/03/2021","23/03/2022","Appointed by academy members"
"1579497","","2046","07705552","Trustee","","Robert","","Pritchard","01/02/2022","31/01/2026","Foundation/sponsor members"
"1141699","","2053","06625091","Accounting Officer","","Rebecca","","Boomer-Clark","01/06/2021","","N/A"
"1248698","","2053","06625091","Chief Financial Officer","Mr","James","","Nicholson","13/11/2017","","N/A"
"1260126","","2053","06625091","Member","Mr","Jude","","Chin","27/04/2017","","Appointed by foundation/Trust"
"1355928","","2053","06625091","Trustee","Mr","John","Edwin","Perry","20/03/2019","19/03/2022","Appointed by academy members"
"1385305","","2053","06625091","Chair of Trustees","Mr","David","","Hall","01/09/2019","31/08/2022","Appointed by academy members"
"1385313","","2053","06625091","Trustee","Mr","Andrew","","Thraves","27/04/2017","14/12/2022","Appointed by academy members"
"1437007","","2053","06625091","Member","Mr","Jack","","Boyer","27/02/2020","","Appointed by foundation/Trust"
"1437009","","2053","06625091","Member","Mr","Charles","","Gregson","27/02/2020","","Appointed by foundation/Trust"
"1437101","","2053","06625091","Trustee","Mr","Jude","","Chin","20/10/2015","14/12/2022","Appointed by academy members"
"1447263","","2053","06625091","Trustee","","Karen","","Squillino","30/04/2020","29/04/2023","Appointed by foundation/Trust"
"1447264","","2053","06625091","Trustee","","Jane","","Ramsey","30/04/2020","29/04/2023","Appointed by foundation/Trust"
