"URN","LinkURN","LinkName","LinkType","LinkEstablishedDate"
105135,100194,"St Paul's Catholic School","Predecessor",""
129342,104117,"Whitesmore School","Predecessor",""
130247,110043,"Thamesbridge College","Predecessor",""
130908,111772,"Macmillan Academy","Predecessor",""
130909,107462,"Dixons City Technology College","Predecessor",""
130912,101150,"North Westminster Community School","Predecessor",""
131065,104690,"Breckfield Community Comprehensive School","Predecessor",""
131065,104689,"Anfield Community Comprehensive School","Predecessor",""
131262,101150,"North Westminster Community School","Predecessor",""
131747,100842,"Aylwin Girls' School","Predecessor",""
131749,106647,"The Elmhirst School","Predecessor",""
131752,100362,"Burlington Danes CofE School","Predecessor",""
131895,107127,"Waltheof School","Predecessor",""
131896,107147,"Myrtle Springs School","Predecessor",""
131897,102678,"Tamworth Manor High School","Predecessor",""
131897,135416,"Harris Federation Post 16","Sixth Form Centre Link","19-09-2007"
132711,100846,"Waverley School","Predecessor",""
132711,135416,"Harris Federation Post 16","Sixth Form Centre Link","18-04-2011"
132727,103102,"The McEntee School","Predecessor",""
133114,134112,"The Gateway Community College","Predecessor",""
133386,102160,"St David and St Katharine CofE Secondary School","Predecessor",""
133697,104244,"T P Riley Community School","Predecessor",""
133768,111750,"Keldholme School","Predecessor",""
133768,111738,"Langbaurgh School","Predecessor",""
134003,132166,"Mitcham Vale School","Predecessor",""
134223,111743,"Coulby Newham School","Predecessor",""
134223,111752,"Brackenhoe School","Predecessor",""
134224,105567,"Ducie High School","Predecessor",""
134225,100848,"Warwick Park School","Predecessor",""
134226,101551,"Willesden High School","Predecessor",""
134253,122946,"Djanogly City Technology College","Predecessor",""
134314,100445,"St Mary Magdalene CofE Primary School","Predecessor",""
134369,101871,"Northolt Primary School","Predecessor",""
134369,101929,"The Compton High School and Sports College","Predecessor",""
134798,101344,"The Edgware School","Predecessor",""
134814,122078,"Lings Upper School","Predecessor",""
135004,102428,"John Penrose School","Predecessor",""
135007,106785,"Thorne Grammar School","Predecessor",""
135070,100744,"Malory School","Predecessor",""
135070,100698,"Merlin Primary School","Predecessor","01-01-2011"
135070,147363,"Haberdashers' Knights Primary","Successor - Split School","31-08-2019"
135071,105984,"Canon Williamson CofE High School","Predecessor",""
135073,100759,"Haberdashers' Aske's Hatcham College","Predecessor",""
135073,100697,"Monson Primary School","Predecessor","16-01-2009"
135073,147355,"Haberdashers' Hatcham Primary","Successor - Split School","31-08-2019"
135120,113029,"Landau Forte College","Predecessor",""
135149,123581,"Madeley Academy","Predecessor",""
135170,104013,"Shireland Language College","Predecessor",""
135174,104729,"The Belvedere Preparatory School","Predecessor","01-09-2007"
135209,118071,"Wintringham School","Predecessor",""
135234,104009,"George Collegiate Academy","Predecessor",""
135249,101812,"Stanley Technical High School for Boys","Predecessor",""
135249,135416,"Harris Federation Post 16","Sixth Form Centre Link","19-09-2007"
135249,139906,"Harris Academy Upper Norwood","Predecessor - merged","01-09-2017"
135262,106131,"Avondale High School","Predecessor",""
135263,110901,"Deacon's School","Predecessor",""
135263,110876,"John Mansfield School","Predecessor",""
135263,110879,"Hereward Community College","Predecessor",""
135264,100736,"Our Lady of Lourdes Catholic Primary School","Predecessor",""
135264,100751,"St Joseph's Academy","Predecessor",""
135290,118877,"Southlands Community Comprehensive School","Predecessor",""
135294,118065,"Havelock School","Predecessor",""
135295,109384,"John Cabot City Technology College","Predecessor",""
135296,105593,"William Hulme's Grammar School","Predecessor",""
135297,119024,"The Leigh City Technology College","Predecessor",""
135300,109288,"Speedwell Technology College","Predecessor",""
135305,118925,"Montgomery School","Predecessor",""
135306,132050,"Corby Community College","Predecessor",""
135311,101850,"Harris City Technology College","Predecessor",""
135311,135416,"Harris Federation Post 16","Sixth Form Centre Link","19-09-2007"
135313,105841,"The Queen Elizabeth School","Predecessor",""
135314,114319,"Eastbourne Comprehensive School","Predecessor",""
135315,100843,"Walworth School","Predecessor",""
