localAuthorityId,localAuthority
201,City of London
202,Camden
203,Greenwich
209,Lewisham
204,Hackney
211,Tower Hamlets
205,Hammersmith & Fulham
206,Islington
207,Kensington & Chelsea
313,Hounslow
936,Surrey
208,Lambeth
212,Wandsworth
213,Westminster
210,Southwark
315,Merton
301,Barking & Dagenham
302,Barnet
303,Bexley
380,Bradford
304,Brent
310,Harrow
307,Ealing
305,Bromley
306,Croydon
309,Haringey
308,Enfield
919,Hertfordshire
311,Havering
312,Hillingdon
314,Kingston upon Thames
316,Newham
317,Redbridge
318,Richmond upon Thames
319,Sutton
320,Waltham Forest
330,Birmingham
334,Solihull
344,Wirral
331,Coventry
332,Dudley
333,Sandwell
335,Walsall
336,Wolverhampton
340,Knowsley
341,Liverpool
342,St. Helens
343,Sefton
894,Telford & Wrekin
350,Bolton
351,Bury
352,Manchester
353,Oldham
354,Rochdale
355,Salford
356,Stockport
358,Trafford
357,Tameside
359,Wigan
370,Barnsley
371,Doncaster
372,Rotherham
373,Sheffield
815,North Yorkshire
381,Calderdale
382,Kirklees
383,Leeds
384,Wakefield
390,Gateshead
391,Newcastle upon Tyne
392,North Tyneside
393,South Tyneside
394,Sunderland
873,Cambridgeshire
801,Bristol
800,Bath & North East Somerset
803,South Gloucestershire
802,North Somerset
840,County Durham
891,Nottinghamshire
823,Central Bedfordshire
822,Bedford
821,Luton
870,Reading
869,West Berkshire
867,Bracknell Forest
868,Windsor & Maidenhead
872,Wokingham
871,Slough
825,Buckinghamshire
826,Milton Keynes
874,Peterborough
877,Warrington
896,Cheshire West & Chester
876,Halton
895,Cheshire East
805,Hartlepool
808,Stockton-on-Tees
807,Redcar & Cleveland
806,Middlesbrough
908,Cornwall
909,Cumbria
830,Derbyshire
831,Derby
878,Devon
880,Torbay
879,Plymouth
838,Dorset
839,"Bournemouth, Christchurch & Poole"
841,Darlington
846,Brighton & Hove
845,East Sussex
938,West Sussex
881,Essex
882,Southend-on-Sea
883,Thurrock
916,Gloucestershire
850,Hampshire
852,Southampton
851,Portsmouth
884,Herefordshire
885,Worcestershire
810,Kingston upon Hull
813,North Lincolnshire
812,North East Lincolnshire
811,East Riding of Yorkshire
921,Isle of Wight
886,Kent
887,Medway
889,Blackburn with Darwen
888,Lancashire
890,Blackpool
855,Leicestershire
856,Leicester
857,Rutland
925,Lincolnshire
926,Norfolk
816,York
941,West Northamptonshire
928,Unknown
940,North Northamptonshire
937,Warwickshire
929,Northumberland
892,Nottingham
931,Oxfordshire
893,Shropshire
933,Somerset
861,Stoke-on-Trent
860,Staffordshire
935,Suffolk
865,Wiltshire
866,Swindon
702,BFPO Overseas Establishments
704,Fieldwork Overseas Establishments
420,Isles of Scilly
