URN,LA,ESTAB,SCHOOLTYPE,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCFL,NUMFSM,NUMFSMEVER,PNUMFSMEVER
100000,201,3614,State-funded primary,270,137,133,50.7%,49.3%,7,2.6%,45,16.7%,159,110,1,58.9%,40.7%,0.4%,37,36,13.3%
100001,201,6005,Independent school,769,769,0,100%,0%,0,0%,88,11.4%,0,0,0,0%,0%,0%,0
100002,201,6006,Independent school,241,102,139,42.3%,57.7%,0,0%,21,8.7%,0,0,0,0%,0%,0%,0
100003,201,6007,Independent school,991,0,991,0%,100%,0,0%,94,9.5%,0,0,0,0%,0%,0%,0
100005,202,1048,State-funded nursery,114,56,58,49.1%,50.9%,0,0%,0,0%,73,41,0,64.0%,36.0%,0%,30
100006,202,1100,Pupil referral unit,37,15,22,40.5%,59.5%,0,0%,23,62.2%,8,29,0,21.6%,78.4%,0%,21,30,81.1%
100007,202,1101,Pupil referral unit,17,4,13,23.5%,76.5%,9,52.9%,8,47.1%,1,16,0,5.9%,94.1%,0%,16,16,94.1%
100008,202,2019,State-funded primary,335,179,156,53.4%,46.6%,13,3.9%,45,13.4%,293,42,0,87.5%,12.5%,0%,174,165,49.3%
100009,202,2036,State-funded primary,418,187,231,44.7%,55.3%,10,2.4%,61,14.6%,250,168,0,59.8%,40.2%,0%,161,160,38.3%
100010,202,2065,State-funded primary,367,167,200,45.5%,54.5%,11,3.0%,44,12.0%,220,147,0,59.9%,40.1%,0%,183,170,46.3%
100011,202,2078,State-funded primary,407,195,212,47.9%,52.1%,4,1.0%,58,14.3%,60,347,0,14.7%,85.3%,0%,84,90,22.1%
100012,202,2095,State-funded primary,211,102,109,48.3%,51.7%,7,3.3%,57,27.0%,167,44,0,79.1%,20.9%,0%,122,128,60.7%
100013,202,2184,State-funded primary,191,103,88,53.9%,46.1%,5,2.6%,46,24.1%,168,23,0,88.0%,12.0%,0%,92,84,44.0%
100014,202,2219,State-funded primary,230,117,113,50.9%,49.1%,8,3.5%,28,12.2%,133,97,0,57.8%,42.2%,0%,90,90,39.1%
100015,202,2290,State-funded primary,216,94,122,43.5%,56.5%,5,2.3%,35,16.2%,137,79,0,63.4%,36.6%,0%,65,67,31.0%
100018,202,2436,State-funded primary,399,183,216,45.9%,54.1%,43,10.8%,77,19.3%,311,88,0,77.9%,22.1%,0%,206,189,47.4%
100019,202,2438,State-funded primary,339,166,173,49.0%,51.0%,4,1.2%,23,6.8%,221,118,0,65.2%,34.8%,0%,59,64,18.9%
100020,202,2475,State-funded primary,450,231,219,51.3%,48.7%,18,4.0%,82,18.2%,271,179,0,60.2%,39.8%,0%,143,145,32.2%
100021,202,2502,State-funded primary,317,168,149,53.0%,47.0%,9,2.8%,75,23.7%,264,53,0,83.3%,16.7%,0%,165,164,51.7%
100022,202,2507,State-funded primary,407,205,202,50.4%,49.6%,7,1.7%,73,17.9%,366,41,0,89.9%,10.1%,0%,208,206,50.6%
100023,202,2603,State-funded primary,449,203,246,45.2%,54.8%,25,5.6%,40,8.9%,205,244,0,45.7%,54.3%,0%,152,161,35.9%
100025,202,2775,State-funded primary,446,208,238,46.6%,53.4%,10,2.2%,60,13.5%,208,237,1,46.6%,53.1%,0.2%,144,147,33.0%
100026,202,2797,State-funded primary,232,120,112,51.7%,48.3%,8,3.4%,21,9.1%,166,66,0,71.6%,28.4%,0%,23,24,10.3%
100027,202,2841,State-funded primary,236,133,103,56.4%,43.6%,10,4.2%,21,8.9%,93,143,0,39.4%,60.6%,0%,30,30,12.7%
100028,202,3323,State-funded primary,190,90,100,47.4%,52.6%,0,0%,17,8.9%,89,101,0,46.8%,53.2%,0%,7,7,3.7%
100029,202,3327,State-funded primary,212,106,106,50.0%,50.0%,7,3.3%,30,14.2%,108,104,0,50.9%,49.1%,0%,95,94,44.3%
100030,202,3340,State-funded primary,231,117,114,50.6%,49.4%,7,3.0%,15,6.5%,91,140,0,39.4%,60.6%,0%,16,19,8.2%
100031,202,3352,State-funded primary,232,125,107,53.9%,46.1%,2,0.9%,27,11.6%,117,115,0,50.4%,49.6%,0%,14,18,7.8%
100032,202,3359,State-funded primary,184,91,93,49.5%,50.5%,6,3.3%,22,12.0%,106,78,0,57.6%,42.4%,0%,87,93,50.5%
