RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,REGION,ALL_BAND,ALL_SCORE,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_RUSSELL,ALL_OXBRIDGE,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_BAND,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_BAND,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_BAND,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_RUSSELL,DIS_OXBRIDGE,DIS_HTECH
1,805,4001,139405,Dyke House Sports and Technology College,Academy - Sponsor Led Mainstream,0,0,,3,13,22,82%,0%,82%,18%,18%,0%,0%,22,82%,13,3,0,0%,NA,NA,0,0%,NA,NA,83%,0%,83%,33%,33%,0%,0%
1,805,4603,140867,The English Martyrs School and Sixth Form College,Academy - Converter Mainstream,0,0,,3,8,110,80%,4%,76%,21%,17%,0%,0%,110,80%,8,3,0,0%,NA,NA,0,0%,NA,NA,75%,0%,75%,25%,19%,0%,0%
1,805,8000,130567,Hartlepool College of Further Education,Further Education Sector Institution,0,0,,2,9,166,55%,2%,22%,0%,0%,0%,30%,4,SUPP,SUPP,SUPP,6,50%,12,3,156,56%,10,2,53%,0%,25%,0%,0%,0%,27%
LA,805,,,,,,,,NA,9,298,66%,3%,47%,9%,8%,0%,17%,136,79%,7,NA,6,50%,12,NA,156,56%,10,NA,69%,4%,49%,10%,8%,0%,16%
1,806,4702,142382,Trinity Catholic College,Academy - Converter Mainstream,0,0,,3,5,100,71%,2%,69%,9%,8%,0%,0%,94,74%,7,3,0,0%,NA,NA,6,17%,-27,3,53%,0%,53%,9%,6%,0%,0%
1,806,6906,134223,The King's Academy,Academy - Sponsor Led Mainstream,0,0,,3,4,66,80%,2%,74%,21%,21%,0%,5%,66,80%,4,3,0,0%,NA,NA,0,0%,NA,NA,75%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,806,6907,130908,Macmillan Academy,Academy - Sponsor Led Mainstream,0,0,,3,8,112,79%,1%,77%,21%,21%,2%,1%,92,84%,8,3,20,55%,4,3,0,0%,NA,NA,85%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,806,8007,130570,Middlesbrough College,Further Education Sector Institution,0,0,,2,4,948,56%,1%,46%,5%,4%,0%,8%,219,77%,8,2,85,51%,10,3,644,49%,2,3,55%,SP,46%,5%,4%,0%,9%
1,806,8150,130571,The Northern School of Art,Further Education Sector Institution,0,0,,1,17,142,72%,0%,66%,11%,3%,0%,6%,34,85%,8,3,0,0%,NA,NA,108,68%,20,2,67%,0%,52%,6%,0%,0%,15%
LA,806,,,,,,,,NA,6,1368,62%,1%,54%,8%,6%,0%,6%,505,79%,7,NA,105,51%,9,NA,758,51%,4,NA,63%,1%,56%,8%,7%,0%,6%
