RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,TOT_COHORT,TOT_OVERALL,TOT_APPREN,TOT_EDUCATION,TOT_FE,TOT_HE,TOT_OTHER_EDU,TOT_EMPLOYMENT,TOT_NOT_SUSTAINED,TOT_NOT_CAPTURED,TOT_OVERALLPER,TOT_APPRENPER,TOT_EDUCATIONPER,TOT_FEPER,TOT_HEPER,TOT_OTHER_EDUPER,TOT_EMPLOYMENTPER,TOT_NOT_SUSTAINEDPER,TOT_NOT_CAPTUREDPER,TOT_COHORT_DIS,TOT_OVERALL_DIS,TOT_APPREN_DIS,TOT_EDUCATION_DIS,TOT_FE_DIS,TOT_HE_DIS,TOT_OTHER_EDU_DIS,TOT_EMPLOYMENT_DIS,TOT_NOT_SUSTAINED_DIS,TOT_NOT_CAPTURED_DIS,TOT_OVERALLPER_DIS,TOT_APPRENPER_DIS,TOT_EDUCATIONPER_DIS,TOT_FEPER_DIS,TOT_HEPER_DIS,TOT_OTHER_EDUPER_DIS,TOT_EMPLOYMENTPER_DIS,TOT_NOT_SUSTAINEDPER_DIS,TOT_NOT_CAPTUREDPER_DIS,TOT_COHORT_NONDIS,TOT_OVERALL_NONDIS,TOT_APPREN_NONDIS,TOT_EDUCATION_NONDIS,TOT_FE_NONDIS,TOT_HE_NONDIS,TOT_OTHER_EDU_NONDIS,TOT_EMPLOYMENT_NONDIS,TOT_NOT_SUSTAINED_NONDIS,TOT_NOT_CAPTURED_NONDIS,TOT_OVERALLPER_NONDIS,TOT_APPRENPER_NONDIS,TOT_EDUCATIONPER_NONDIS,TOT_FEPER_NONDIS,TOT_HEPER_NONDIS,TOT_OTHER_EDUPER_NONDIS,TOT_EMPLOYMENTPER_NONDIS,TOT_NOT_SUSTAINEDPER_NONDIS,TOT_NOT_CAPTUREDPER_NONDIS,L3_COHORT,L3_OVERALL,L3_APPREN,L3_EDUCATION,L3_FE,L3_HE,L3_OTHER_EDU,L3_EMPLOYMENT,L3_NOT_SUSTAINED,L3_NOT_CAPTURED,L3_OVERALLPER,L3_APPRENPER,L3_EDUCATIONPER,L3_FEPER,L3_HEPER,L3_OTHER_EDUPER,L3_EMPLOYMENTPER,L3_NOT_SUSTAINEDPER,L3_NOT_CAPTUREDPER,L3_COHORT_DIS,L3_OVERALL_DIS,L3_APPREN_DIS,L3_EDUCATION_DIS,L3_FE_DIS,L3_HE_DIS,L3_OTHER_EDU_DIS,L3_EMPLOYMENT_DIS,L3_NOT_SUSTAINED_DIS,L3_NOT_CAPTURED_DIS,L3_OVERALLPER_DIS,L3_APPRENPER_DIS,L3_EDUCATIONPER_DIS,L3_FEPER_DIS,L3_HEPER_DIS,L3_OTHER_EDUPER_DIS,L3_EMPLOYMENTPER_DIS,L3_NOT_SUSTAINEDPER_DIS,L3_NOT_CAPTUREDPER_DIS,L3_COHORT_NONDIS,L3_OVERALL_NONDIS,L3_APPREN_NONDIS,L3_EDUCATION_NONDIS,L3_FE_NONDIS,L3_HE_NONDIS,L3_OTHER_EDU_NONDIS,L3_EMPLOYMENT_NONDIS,L3_NOT_SUSTAINED_NONDIS,L3_NOT_CAPTURED_NONDIS,L3_OVERALLPER_NONDIS,L3_APPRENPER_NONDIS,L3_EDUCATIONPER_NONDIS,L3_FEPER_NONDIS,L3_HEPER_NONDIS,L3_OTHER_EDUPER_NONDIS,L3_EMPLOYMENTPER_NONDIS,L3_NOT_SUSTAINEDPER_NONDIS,L3_NOT_CAPTUREDPER_NONDIS,L2_COHORT,L2_OVERALL,L2_APPREN,L2_EDUCATION,L2_FE,L2_HE,L2_OTHER_EDU,L2_EMPLOYMENT,L2_NOT_SUSTAINED,L2_NOT_CAPTURED,L2_OVERALLPER,L2_APPRENPER,L2_EDUCATIONPER,L2_FEPER,L2_HEPER,L2_OTHER_EDUPER,L2_EMPLOYMENTPER,L2_NOT_SUSTAINEDPER,L2_NOT_CAPTUREDPER,L2_COHORT_DIS,L2_OVERALL_DIS,L2_APPREN_DIS,L2_EDUCATION_DIS,L2_FE_DIS,L2_HE_DIS,L2_OTHER_EDU_DIS,L2_EMPLOYMENT_DIS,L2_NOT_SUSTAINED_DIS,L2_NOT_CAPTURED_DIS,L2_OVERALLPER_DIS,L2_APPRENPER_DIS,L2_EDUCATIONPER_DIS,L2_FEPER_DIS,L2_HEPER_DIS,L2_OTHER_EDUPER_DIS,L2_EMPLOYMENTPER_DIS,L2_NOT_SUSTAINEDPER_DIS,L2_NOT_CAPTUREDPER_DIS,L2_COHORT_NONDIS,L2_OVERALL_NONDIS,L2_APPREN_NONDIS,L2_EDUCATION_NONDIS,L2_FE_NONDIS,L2_HE_NONDIS,L2_OTHER_EDU_NONDIS,L2_EMPLOYMENT_NONDIS,L2_NOT_SUSTAINED_NONDIS,L2_NOT_CAPTURED_NONDIS,L2_OVERALLPER_NONDIS,L2_APPRENPER_NONDIS,L2_EDUCATIONPER_NONDIS,L2_FEPER_NONDIS,L2_HEPER_NONDIS,L2_OTHER_EDUPER_NONDIS,L2_EMPLOYMENTPER_NONDIS,L2_NOT_SUSTAINEDPER_NONDIS,L2_NOT_CAPTUREDPER_NONDIS,LALLOTH_COHORT,LALLOTH_OVERALL,LALLOTH_APPREN,LALLOTH_EDUCATION,LALLOTH_FE,LALLOTH_HE,LALLOTH_OTHER_EDU,LALLOTH_EMPLOYMENT,LALLOTH_NOT_SUSTAINED,LALLOTH_NOT_CAPTURED,LALLOTH_OVERALLPER,LALLOTH_APPRENPER,LALLOTH_EDUCATIONPER,LALLOTH_FEPER,LALLOTH_HEPER,LALLOTH_OTHER_EDUPER,LALLOTH_EMPLOYMENTPER,LALLOTH_NOT_SUSTAINEDPER,LALLOTH_NOT_CAPTUREDPER,LALLOTH_COHORT_DIS,LALLOTH_OVERALL_DIS,LALLOTH_APPREN_DIS,LALLOTH_EDUCATION_DIS,LALLOTH_FE_DIS,LALLOTH_HE_DIS,LALLOTH_OTHER_EDU_DIS,LALLOTH_EMPLOYMENT_DIS,LALLOTH_NOT_SUSTAINED_DIS,LALLOTH_NOT_CAPTURED_DIS,LALLOTH_OVERALLPER_DIS,LALLOTH_APPRENPER_DIS,LALLOTH_EDUCATIONPER_DIS,LALLOTH_FEPER_DIS,LALLOTH_HEPER_DIS,LALLOTH_OTHER_EDUPER_DIS,LALLOTH_EMPLOYMENTPER_DIS,LALLOTH_NOT_SUSTAINEDPER_DIS,LALLOTH_NOT_CAPTUREDPER_DIS,LALLOTH_COHORT_NONDIS,LALLOTH_OVERALL_NONDIS,LALLOTH_APPREN_NONDIS,LALLOTH_EDUCATION_NONDIS,LALLOTH_FE_NONDIS,LALLOTH_HE_NONDIS,LALLOTH_OTHER_EDU_NONDIS,LALLOTH_EMPLOYMENT_NONDIS,LALLOTH_NOT_SUSTAINED_NONDIS,LALLOTH_NOT_CAPTURED_NONDIS,LALLOTH_OVERALLPER_NONDIS,LALLOTH_APPRENPER_NONDIS,LALLOTH_EDUCATIONPER_NONDIS,LALLOTH_FEPER_NONDIS,LALLOTH_HEPER_NONDIS,LALLOTH_OTHER_EDUPER_NONDIS,LALLOTH_EMPLOYMENTPER_NONDIS,LALLOTH_NOT_SUSTAINEDPER_NONDIS,LALLOTH_NOT_CAPTUREDPER_NONDIS
1,202,4000,137181,The UCL Academy,Academy - Sponsor Led Mainstream,0,0,122,103,1,95,8,86,1,7,12,7,84%,1%,78%,7%,70%,1%,6%,10%,6%,58,48,SUPP,44,SUPP,39,SUPP,SUPP,6,4,83%,SUPP,76%,SUPP,67%,SUPP,SUPP,10%,7%,64,55,SUPP,51,SUPP,47,SUPP,SUPP,6,3,86%,SUPP,80%,SUPP,73%,SUPP,SUPP,9%,5%,119,102,1,94,7,86,1,7,10,7,86%,1%,79%,6%,72%,1%,6%,8%,6%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,202,4104,100049,Haverstock School,Community School,0,0,84,67,3,58,4,53,1,6,10,7,80%,4%,69%,5%,63%,1%,7%,12%,8%,50,40,SUPP,34,SUPP,30,SUPP,SUPP,6,4,80%,SUPP,68%,SUPP,60%,SUPP,SUPP,12%,8%,34,27,SUPP,24,SUPP,23,SUPP,SUPP,4,3,79%,SUPP,71%,SUPP,68%,SUPP,SUPP,12%,9%,76,65,3,58,4,53,1,4,6,5,86%,4%,76%,5%,70%,1%,5%,8%,7%,44,SUPP,SUPP,34,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,SUPP,77%,SUPP,SUPP,SUPP,SUPP,7%,SUPP,32,SUPP,SUPP,24,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,SUPP,75%,SUPP,SUPP,SUPP,SUPP,9%,SUPP,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,202,4166,100050,Parliament Hill School,Community School,1,0,129,101,4,70,4,63,3,27,13,15,78%,3%,54%,3%,49%,2%,21%,10%,12%,67,57,SUPP,43,SUPP,37,SUPP,SUPP,5,5,85%,SUPP,64%,SUPP,55%,SUPP,SUPP,7%,7%,62,44,SUPP,27,SUPP,26,SUPP,SUPP,8,10,71%,SUPP,44%,SUPP,42%,SUPP,SUPP,13%,16%,116,93,2,68,4,63,1,23,11,12,80%,2%,59%,3%,54%,1%,20%,9%,10%,58,52,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,90%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,58,41,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,71%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,8,5,0,2,0,0,2,3,1,2,63%,0%,25%,0%,0%,25%,38%,13%,25%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,202,4196,100051,Regent High School,Community School,0,0,49,41,1,32,2,29,1,8,5,3,84%,2%,65%,4%,59%,2%,16%,10%,6%,25,20,SUPP,16,SUPP,15,SUPP,SUPP,SUPP,SUPP,80%,SUPP,64%,SUPP,60%,SUPP,SUPP,SUPP,SUPP,24,21,SUPP,16,SUPP,14,SUPP,SUPP,SUPP,SUPP,88%,SUPP,67%,SUPP,58%,SUPP,SUPP,SUPP,SUPP,45,40,1,32,2,29,1,7,2,3,89%,2%,71%,4%,64%,2%,16%,4%,7%,22,SUPP,SUPP,16,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,73%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,23,SUPP,SUPP,16,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,70%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,202,4275,100052,Hampstead School,Community School,0,0,118,97,0,80,4,44,32,17,11,10,82%,0%,68%,3%,37%,27%,14%,9%,8%,50,43,0,40,SUPP,19,SUPP,3,5,2,86%,0%,80%,SUPP,38%,SUPP,6%,10%,4%,68,54,0,40,SUPP,25,SUPP,14,6,8,79%,0%,59%,SUPP,37%,SUPP,21%,9%,12%,105,89,0,77,4,44,29,12,10,6,85%,0%,73%,4%,42%,28%,11%,10%,6%,46,41,0,SUPP,SUPP,19,SUPP,SUPP,SUPP,SUPP,89%,0%,SUPP,SUPP,41%,SUPP,SUPP,SUPP,SUPP,59,48,0,SUPP,SUPP,25,SUPP,SUPP,SUPP,SUPP,81%,0%,SUPP,SUPP,42%,SUPP,SUPP,SUPP,SUPP,10,6,0,2,0,0,2,4,1,3,60%,0%,20%,0%,0%,20%,40%,10%,30%,3,SUPP,0,SUPP,0,0,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,0%,0%,SUPP,SUPP,SUPP,SUPP,7,SUPP,0,SUPP,0,0,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,0%,0%,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,202,4285,100053,Acland Burghley School,Community School,1,0,107,89,5,65,5,59,1,19,14,4,83%,5%,61%,5%,55%,1%,18%,13%,4%,46,38,1,30,SUPP,27,SUPP,7,SUPP,SUPP,83%,2%,65%,SUPP,59%,SUPP,15%,SUPP,SUPP,61,51,4,35,SUPP,32,SUPP,12,SUPP,SUPP,84%,7%,57%,SUPP,52%,SUPP,20%,SUPP,SUPP,101,85,3,65,5,59,1,17,13,3,84%,3%,64%,5%,58%,1%,17%,13%,3%,45,SUPP,SUPP,30,SUPP,SUPP,SUPP,SUPP,SUPP,0,SUPP,SUPP,67%,SUPP,SUPP,SUPP,SUPP,SUPP,0%,56,SUPP,SUPP,35,SUPP,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,63%,SUPP,SUPP,SUPP,SUPP,SUPP,5%,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,202,4611,100054,The Camden School for Girls,Voluntary Aided School,0,0,197,167,1,103,8,91,4,63,17,13,85%,1%,52%,4%,46%,2%,32%,9%,7%,19,18,SUPP,15,1,13,1,SUPP,1,0,95%,SUPP,79%,5%,68%,5%,SUPP,5%,0%,178,149,SUPP,88,7,78,3,SUPP,16,13,84%,SUPP,49%,4%,44%,2%,SUPP,9%,7%,197,167,1,103,8,91,4,63,17,13,85%,1%,52%,4%,46%,2%,32%,9%,7%,19,18,SUPP,15,1,13,1,SUPP,1,0,95%,SUPP,79%,5%,68%,5%,SUPP,5%,0%,178,149,SUPP,88,7,78,3,SUPP,16,13,84%,SUPP,49%,4%,44%,2%,SUPP,9%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,202,4652,100055,Maria Fidelis Catholic School FCJ,Voluntary Aided School,0,0,31,26,0,23,0,20,3,3,4,1,84%,0%,74%,0%,65%,10%,10%,13%,3%,14,10,0,9,0,8,1,1,SUPP,SUPP,71%,0%,64%,0%,57%,7%,7%,SUPP,SUPP,17,16,0,14,0,12,2,2,SUPP,SUPP,94%,0%,82%,0%,71%,12%,12%,SUPP,SUPP,28,24,0,21,0,20,1,3,3,1,86%,0%,75%,0%,71%,4%,11%,11%,4%,13,SUPP,0,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,0%,SUPP,SUPP,SUPP,SUPP,SUPP,15,SUPP,0,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,0%,SUPP,SUPP,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,202,4688,100056,William Ellis School,Voluntary Aided School,1,0,103,82,4,57,2,53,2,21,15,6,80%,4%,55%,2%,51%,2%,20%,15%,6%,61,47,2,35,SUPP,32,SUPP,10,11,3,77%,3%,57%,SUPP,52%,SUPP,16%,18%,5%,42,35,2,22,SUPP,21,SUPP,11,4,3,83%,5%,52%,SUPP,50%,SUPP,26%,10%,7%,93,76,3,55,2,52,1,18,12,5,82%,3%,59%,2%,56%,1%,19%,13%,5%,55,43,SUPP,SUPP,SUPP,SUPP,SUPP,9,SUPP,SUPP,78%,SUPP,SUPP,SUPP,SUPP,SUPP,16%,SUPP,SUPP,38,33,SUPP,SUPP,SUPP,SUPP,SUPP,9,SUPP,SUPP,87%,SUPP,SUPP,SUPP,SUPP,SUPP,24%,SUPP,SUPP,6,4,1,1,0,1,0,2,1,1,67%,17%,17%,0%,17%,0%,33%,17%,17%,4,SUPP,SUPP,SUPP,0,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,0%,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,0,SUPP,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,0%,SUPP,SUPP,SUPP,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
3,202,4952,NA,LaSWAP Sixth Form,Sixth Form Centre/Consortia,NA,NA,437,350,17,249,17,224,8,84,56,31,80%,4%,57%,4%,51%,2%,19%,13%,7%,218,179,8,136,SUPP,122,SUPP,35,29,10,82%,4%,62%,SUPP,56%,SUPP,16%,13%,5%,219,171,9,113,SUPP,102,SUPP,49,27,21,78%,4%,52%,SUPP,47%,SUPP,22%,12%,10%,406,331,12,245,17,223,5,74,50,25,82%,3%,60%,4%,55%,1%,18%,12%,6%,200,169,SUPP,SUPP,SUPP,SUPP,SUPP,32,24,7,85%,SUPP,SUPP,SUPP,SUPP,SUPP,16%,12%,4%,206,162,SUPP,SUPP,SUPP,SUPP,SUPP,42,26,18,79%,SUPP,SUPP,SUPP,SUPP,SUPP,20%,13%,9%,17,11,2,3,0,1,2,6,3,3,65%,12%,18%,0%,6%,12%,35%,18%,18%,10,6,SUPP,SUPP,0,SUPP,SUPP,2,SUPP,SUPP,60%,SUPP,SUPP,0%,SUPP,SUPP,20%,SUPP,SUPP,7,5,SUPP,SUPP,0,SUPP,SUPP,4,SUPP,SUPP,71%,SUPP,SUPP,0%,SUPP,SUPP,57%,SUPP,SUPP,14,8,3,1,0,0,1,4,3,3,57%,21%,7%,0%,0%,7%,29%,21%,21%,8,4,SUPP,SUPP,0,0,SUPP,1,SUPP,SUPP,50%,SUPP,SUPP,0%,0%,SUPP,13%,SUPP,SUPP,6,4,SUPP,SUPP,0,0,SUPP,3,SUPP,SUPP,67%,SUPP,SUPP,0%,0%,SUPP,50%,SUPP,SUPP
