LA Number,Establishment Number,URN,School Phase,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
201,3614,100000,Primary,28,22,14,19.0,15.8,7.4,14.2,"£48,747"
202,2019,100008,Primary,17,9,6,16.1,8.2,6.0,20.8,"£53,687"
202,2036,100009,Primary,23,14,2,23.0,11.8,2.0,18.2,"£46,839"
202,2065,100010,Primary,24,16,9,21.8,14.7,8.0,16.1,"£47,777"
202,2078,100011,Primary,25,15,11,21.2,12.9,6.7,18.9,"£46,079"
202,2095,100012,Primary,14,17,6,13.6,10.7,4.5,15.5,"£54,515"
202,2184,100013,Primary,16,10,5,15.0,10.0,4.4,12.8,"£50,288"
202,2219,100014,Primary,13,12,3,11.5,10.2,3.0,20,"£51,211"
202,2290,100015,Primary,15,14,8,11.3,8.8,4.8,19.1,"£49,721"
202,2436,100018,Primary,28,34,9,26.8,32.3,8.4,14.4,"£48,661"
202,2438,100019,Primary,21,18,5,19.5,12.4,4.9,16.9,"£50,731"
202,2475,100020,Primary,23,35,15,20.7,27.3,14.4,21.2,"£51,702"
202,2502,100021,Primary,24,20,12,22.4,17.0,9.8,14.2,"£50,881"
202,2507,100022,Primary,28,20,7,26.3,18.3,7.0,15.5,"£50,706"
202,2603,100023,Primary,24,26,8,22.8,14.8,7.2,19.5,"£57,451"
202,2775,100025,Primary,21,30,15,19.5,21.9,8.7,22.5,"£51,151"
202,2797,100026,Primary,11,10,2,9.6,9.5,2.0,24.1,"£52,139"
202,2841,100027,Primary,13,15,6,11.6,12.1,4.7,20.3,"£52,329"
202,3323,100028,Primary,14,6,4,11.3,4.9,2.5,16.9,"£47,669"
202,3327,100029,Primary,12,16,3,11.0,14.8,2.3,19.3,"£44,680"
202,3340,100030,Primary,14,13,4,13.3,12.1,3.4,17.1,"£46,376"
202,3352,100031,Primary,15,11,5,13.2,8.1,3.8,17.6,"£42,557"
202,3359,100032,Primary,12,19,3,11.1,10.2,2.4,16.6,"£43,884"
202,3361,100033,Primary,15,11,3,12.1,9.2,3.0,17.4,"£43,448"
202,3370,100034,Primary,17,21,2,14.8,15.1,1.7,15.8,"£49,055"
202,3391,100035,Primary,22,14,4,18.1,9.0,3.1,16.7,"£47,792"
202,3398,100036,Primary,13,14,3,12.3,10.7,2.9,13.5,"£44,203"
202,3429,100039,Primary,12,6,4,11.1,4.9,3.9,15.7,"£51,403"
202,3441,100040,Primary,12,12,4,12.0,11.6,4.0,17.6,"£43,239"
202,3482,100041,Primary,11,11,7,10.1,7.1,5.3,18.5,"£45,244"
202,3517,100042,Primary,10,6,3,10.0,5.7,3.0,22.7,"£47,303"
202,3521,100043,Primary,13,10,4,12.2,9.8,4.0,16.8,"£47,662"
202,3546,100044,Primary,7,6,2,6.6,5.2,2.0,20.3,"£43,809"
202,3560,100045,Primary,14,14,5,10.5,8.7,3.6,18.5,"£45,250"
202,3568,100046,Primary,11,14,4,10.0,11.3,2.7,19.6,"£52,886"
202,3649,100047,Primary,10,5,4,10.0,5.0,3.1,20.4,"£59,418"
202,3655,100048,Primary,12,8,6,11.2,7.9,6.0,23.2,"£50,491"
202,4104,100049,Secondary,63,15,23,61.8,14.5,21.2,14.3,"£49,983"
202,4166,100050,Secondary,79,7,24,72.1,6.7,21.7,16.4,"£51,182"
202,4196,100051,Secondary,77,17,27,76.4,15.8,26.5,13.6,"£44,551"
202,4275,100052,Secondary,92,21,31,89.9,18.1,27.9,14.7,"£47,180"
202,4285,100053,Secondary,84,26,24,80.6,25.0,21.7,14.1,"£49,239"
202,4611,100054,Secondary,83,15,31,67.0,10.5,23.8,15.6,"£52,932"
202,4652,100055,Secondary,59,13,19,58.0,13.0,18.4,13.3,"£48,919"
202,4688,100056,Secondary,57,11,16,52.2,8.8,13.6,16.3,"£53,699"
202,5401,100059,Secondary,84,11,29,75.0,10.3,22.3,13.2,"£51,189"
202,7008,100091,Not applicable,7,24,4,6.6,19.8,1.8,5.5,"£50,312"
202,7137,100092,Not applicable,12,8,6,12.0,7.8,6.0,2.5,"£56,129"
202,7205,100096,Not applicable,43,103,18,43.0,96.6,17.3,6,"£43,553"
203,2028,100113,Primary,52,27,15,46.0,18.0,12.1,18.3,"£46,067"
203,2071,100114,Primary,23,24,6,21.1,18.1,5.0,19.4,"£50,332"
203,2106,100115,Primary,15,26,4,12.9,20.6,3.0,17.2,"£43,600"
203,2174,100120,Primary,24,30,11,22.2,16.7,8.5,17.9,"£47,085"
203,2228,100125,Primary,24,20,8,21.5,17.9,6.7,16.7,"£40,465"
203,2242,100126,Primary,19,18,3,17.0,12.9,3.0,17,"£49,268"
203,2258,100127,Primary,18,27,7,16.2,15.3,6.1,25.9,"£47,809"
203,2271,100129,Primary,24,21,8,22.8,17.9,5.6,14.9,"£46,662"
203,2299,100131,Primary,20,27,11,18.5,19.0,7.9,21.7,"£48,352"
203,2325,100134,Primary,42,35,15,39.7,30.5,9.6,18.4,"£42,643"
203,2353,100136,Primary,28,21,8,26.3,14.0,7.1,14.6,"£45,361"
203,2410,100137,Primary,18,14,11,14.7,9.7,5.9,15.3,"£51,732"
203,2471,100140,Primary,47,42,23,41.5,31.4,12.9,20.6,"£47,345"
203,2552,100141,Primary,20,19,4,19.4,15.2,3.6,23.3,"£35,984"
203,2598,100142,Primary,16,15,6,10.8,8.3,4.9,19.8,"£45,154"
203,2662,100146,Primary,22,33,6,19.3,24.3,4.8,21.4,"£48,793"
203,2798,100149,Primary,22,29,6,19.1,22.1,3.8,22.3,"£46,360"
203,2801,100150,Primary,26,32,6,24.7,19.0,5.5,16.2,"£45,238"
203,2813,100152,Primary,28,23,10,25.7,19.9,9.4,18.4,"£47,181"
203,2851,100154,Primary,29,26,13,26.2,13.4,8.9,18.3,"£47,130"
203,2877,100155,Primary,25,19,10,23.3,14.1,8.7,18.5,"£53,354"
203,2900,100158,Primary,44,29,29,41.1,20.6,17.7,19,"£46,908"
203,2901,100159,Primary,29,20,8,25.2,18.5,7.9,14.1,"£48,065"
203,2915,100162,Primary,15,15,4,12.1,9.0,3.7,17.6,"£48,870"
203,2916,100163,Primary,18,26,24,17.6,18.6,19.5,22.4,"£40,517"
203,2917,100164,Primary,15,19,7,15.0,13.8,6.6,28.9,"£48,095"
203,3322,100165,Primary,14,14,6,12.9,10.1,4.5,14.8,"£49,508"
